1000

x:             u:             v:
0.599       0.3991183       0.3985235
0.6       0.3981443       0.3975485
0.601         0.39717       0.3965732
0.602       0.3961955       0.3955977
0.603       0.3952207       0.3946219
0.604       0.3942457       0.3936459
0.605       0.3932704       0.3926696
0.606       0.3922949       0.3916931
0.607       0.3913192       0.3907164
0.608       0.3903433       0.3897394
0.609       0.3893671       0.3887622
0.61       0.3883907       0.3877848
0.611        0.387414       0.3868072
0.612       0.3864372       0.3858293
0.613       0.3854601       0.3848512
0.614       0.3844828        0.383873
0.615       0.3835053       0.3828944
0.616       0.3825276       0.3819157
0.617       0.3815497       0.3809368
0.618       0.3805715       0.3799576
0.619       0.3795932       0.3789783
0.62       0.3786146       0.3779987
0.621       0.3776359        0.377019
0.622       0.3766569        0.376039
0.623       0.3756778       0.3750588
0.624       0.3746984       0.3740785
0.625       0.3737189       0.3730979
0.626       0.3727391       0.3721172
0.627       0.3717592       0.3711362
0.628       0.3707791       0.3701551
0.629       0.3697988       0.3691738
0.63       0.3688183       0.3681923
0.631       0.3678376       0.3672106
0.632       0.3668567       0.3662287
0.633       0.3658757       0.3652467
0.634       0.3648945       0.3642645
0.635       0.3639131       0.3632821
0.636       0.3629315       0.3622995
0.637       0.3619498       0.3613168
0.638       0.3609679       0.3603338
0.639       0.3599858       0.3593508
0.64       0.3590035       0.3583675
0.641       0.3580211       0.3573841
0.642       0.3570386       0.3564005
0.643       0.3560558       0.3554167
0.644       0.3550729       0.3544328
0.645       0.3540898       0.3534488
0.646       0.3531066       0.3524645
0.647       0.3521232       0.3514801
0.648       0.3511397       0.3504956
0.649        0.350156       0.3495109
0.65       0.3491722       0.3485261
0.651       0.3481882       0.3475411
0.652       0.3472041       0.3465559
0.653       0.3462198       0.3455706
0.654       0.3452353       0.3445852
0.655       0.3442508       0.3435996
0.656       0.3432661       0.3426139
0.657       0.3422812        0.341628
0.658       0.3412962        0.340642
0.659       0.3403111       0.3396559
0.66       0.3393258       0.3386696
0.661       0.3383404       0.3376832
0.662       0.3373548       0.3366966
0.663       0.3363691       0.3357099
0.664       0.3353833       0.3347231
0.665       0.3343974       0.3337362
0.666       0.3334113       0.3327491
0.667       0.3324251       0.3317619
0.668       0.3314388       0.3307745
0.669       0.3304523       0.3297871
0.67       0.3294658       0.3287995
0.671       0.3284791       0.3278118
0.672       0.3274922        0.326824
0.673       0.3265053        0.325836
0.674       0.3255182        0.324848
0.675       0.3245311       0.3238598
0.676       0.3235438       0.3228715
0.677       0.3225563        0.321883
0.678       0.3215688       0.3208945
0.679       0.3205812       0.3199059
0.68       0.3195934       0.3189171
0.681       0.3186056       0.3179282
0.682       0.3176176       0.3169392
0.683       0.3166295       0.3159502
0.684       0.3156413        0.314961
0.685        0.314653       0.3139716
0.686       0.3136646       0.3129822
0.687       0.3126761       0.3119927
0.688       0.3116875       0.3110031
0.689       0.3106987       0.3100134
0.69       0.3097099       0.3090235
0.691        0.308721       0.3080336
0.692        0.307732       0.3070436
0.693       0.3067429       0.3060535
0.694       0.3057537       0.3050632
0.695       0.3047643       0.3040729
0.696       0.3037749       0.3030825
0.697       0.3027854        0.302092
0.698       0.3017958       0.3011014
0.699       0.3008061       0.3001107
0.7       0.2998164       0.2991199
0.701       0.2988265        0.298129
0.702       0.2978365        0.297138
0.703       0.2968465        0.296147
0.704       0.2958563       0.2951558
0.705       0.2948661       0.2941646
0.706       0.2938758       0.2931733
0.707       0.2928854       0.2921819
0.708       0.2918949       0.2911904
0.709       0.2909043       0.2901988
0.71       0.2899137       0.2892071
0.711       0.2889229       0.2882154
0.712       0.2879321       0.2872236
0.713       0.2869412       0.2862317
0.714       0.2859502       0.2852397
0.715       0.2849592       0.2842476
0.716        0.283968       0.2832555
0.717       0.2829768       0.2822632
0.718       0.2819855       0.2812709
0.719       0.2809941       0.2802786
0.72       0.2800027       0.2792861
0.721       0.2790112       0.2782936
0.722       0.2780196        0.277301
0.723       0.2770279       0.2763083
0.724       0.2760362       0.2753156
0.725       0.2750444       0.2743227
0.726       0.2740525       0.2733299
0.727       0.2730605       0.2723369
0.728       0.2720685       0.2713439
0.729       0.2710764       0.2703508
0.73       0.2700843       0.2693576
0.731        0.269092       0.2683644
0.732       0.2680997       0.2673711
0.733       0.2671074       0.2663777
0.734        0.266115       0.2653843
0.735       0.2651225       0.2643908
0.736       0.2641299       0.2633972
0.737       0.2631373       0.2624036
0.738       0.2621446       0.2614099
0.739       0.2611519       0.2604162
0.74       0.2601591       0.2594223
0.741       0.2591662       0.2584285
0.742       0.2581733       0.2574345
0.743       0.2571803       0.2564405
0.744       0.2561872       0.2554465
0.745       0.2551941       0.2544524
0.746        0.254201       0.2534582
0.747       0.2532078        0.252464
0.748       0.2522145       0.2514697
0.749       0.2512211       0.2504754
0.75       0.2502278        0.249481
0.751       0.2492343       0.2484865
0.752       0.2482408        0.247492
0.753       0.2472473       0.2464974
0.754       0.2462537       0.2455028
0.755         0.24526       0.2445082
0.756       0.2442663       0.2435134
0.757       0.2432725       0.2425187
0.758       0.2422787       0.2415239
0.759       0.2412848        0.240529
0.76       0.2402909       0.2395341
0.761       0.2392969       0.2385391
0.762       0.2383029       0.2375441
0.763       0.2373089        0.236549
0.764       0.2363147       0.2355539
0.765       0.2353206       0.2345587
0.766       0.2343264       0.2335635
0.767       0.2333321       0.2325682
0.768       0.2323378       0.2315729
0.769       0.2313435       0.2305775
0.77       0.2303491       0.2295821
0.771       0.2293546       0.2285867
0.772       0.2283601       0.2275912
0.773       0.2273656       0.2265957
0.774        0.226371       0.2256001
0.775       0.2253764       0.2246044
0.776       0.2243817       0.2236088
0.777        0.223387       0.2226131
0.778       0.2223923       0.2216173
0.779       0.2213975       0.2206215
0.78       0.2204027       0.2196257
0.781       0.2194078       0.2186298
0.782       0.2184129       0.2176339
0.783       0.2174179       0.2166379
0.784       0.2164229       0.2156419
0.785       0.2154279       0.2146459
0.786       0.2144328       0.2136498
0.787       0.2134377       0.2126537
0.788       0.2124426       0.2116575
0.789       0.2114474       0.2106614
0.79       0.2104522       0.2096651
0.791       0.2094569       0.2086689
0.792       0.2084616       0.2076726
0.793       0.2074663       0.2066762
0.794       0.2064709       0.2056798
0.795       0.2054755       0.2046834
0.796       0.2044801        0.203687
0.797       0.2034846       0.2026905
0.798       0.2024891        0.201694
0.799       0.2014936       0.2006974
0.8        0.200498       0.1997009
0.801       0.1995024       0.1987042
0.802       0.1985067       0.1977076
0.803       0.1975111       0.1967109
0.804       0.1965154       0.1957142
0.805       0.1955196       0.1947174
0.806       0.1945238       0.1937207
0.807        0.193528       0.1927239
0.808       0.1925322        0.191727
0.809       0.1915363       0.1907301
0.81       0.1905404       0.1897332
0.811       0.1895445       0.1887363
0.812       0.1885486       0.1877393
0.813       0.1875526       0.1867423
0.814       0.1865565       0.1857453
0.815       0.1855605       0.1847483
0.816       0.1845644       0.1837512
0.817       0.1835683       0.1827541
0.818       0.1825722       0.1817569
0.819        0.181576       0.1807598
0.82       0.1805798       0.1797626
0.821       0.1795836       0.1787654
0.822       0.1785874       0.1777681
0.823       0.1775911       0.1767708
0.824       0.1765948       0.1757735
0.825       0.1755985       0.1747762
0.826       0.1746022       0.1737788
0.827       0.1736058       0.1727815
0.828       0.1726094       0.1717841
0.829        0.171613       0.1707866
0.83       0.1706165       0.1697892
0.831         0.16962       0.1687917
0.832       0.1686235       0.1677942
0.833        0.167627       0.1667966
0.834       0.1666305       0.1657991
0.835       0.1656339       0.1648015
0.836       0.1646373       0.1638039
0.837       0.1636407       0.1628063
0.838        0.162644       0.1618086
0.839       0.1616474        0.160811
0.84       0.1606507       0.1598133
0.841        0.159654       0.1588156
0.842       0.1586572       0.1578178
0.843       0.1576605       0.1568201
0.844       0.1566637       0.1558223
0.845       0.1556669       0.1548245
0.846       0.1546701       0.1538266
0.847       0.1536732       0.1528288
0.848       0.1526764       0.1518309
0.849       0.1516795        0.150833
0.85       0.1506826       0.1498351
0.851       0.1496857       0.1488372
0.852       0.1486887       0.1478392
0.853       0.1476918       0.1468413
0.854       0.1466948       0.1458433
0.855       0.1456978       0.1448453
0.856       0.1447008       0.1438472
0.857       0.1437037       0.1428492
0.858       0.1427067       0.1418511
0.859       0.1417096        0.140853
0.86       0.1407125       0.1398549
0.861       0.1397154       0.1388568
0.862       0.1387182       0.1378587
0.863       0.1377211       0.1368605
0.864       0.1367239       0.1358623
0.865       0.1357267       0.1348641
0.866       0.1347295       0.1338659
0.867       0.1337323       0.1328677
0.868       0.1327351       0.1318695
0.869       0.1317378       0.1308712
0.87       0.1307405       0.1298729
0.871       0.1297432       0.1288746
